Keyld,MyPN,Name,Description,Value,Value2,Symbol,Footprint,Footprint_Filter,Coil_Voltage,Coil_Resistance,Coil_Power,Contact_Form,Contact_Current,Contact_Voltage,Contact_Resistance,Switching_Power,Isolation_Voltage,Operate_Time,Release_Time,Mechanical_Life,Electrical_Life,Type,Mount,,Dimensions,Height,Termination,MinTemp,MaxTemp,Operating_Temp,Sealing,Flux_Proof,Datasheet,RoHS_Compliant,REACH_Compliant,Manufacturer,Manufacturer_PN,Series,LCSC_PN,LCSC_URL,Mouser_PN,Mouser_URL,Digikey_PN,Digikey_URL,Farnell_PN,TME_PN,Alternative_PN,Internal_Code,Category,Subcategory,StockQty,Min_Stock,Max_Stock,StockPlace,Stock_Unit,Reel_Size,Price,Currency,Last_Purchase_Date,Last_Purchase_Price,Supplier,Active,Notes,Tags,CreatedBy,CreatedAt,ModifiedBy,ModifiedAt,Version,Exclude_from_BOM,Exclude_from_Board
31,EL-REL-000031,SignalRelay_DPDT_4.5V_SingleLatching_Kemet_EC2,"Kemet EC2 Series - General purpose signal relay, DPDT (2 Form C), single coil latching, through hole, 4.5V DC coil",EC2-4.5SNU,4.5V DPDT Single Latch,Relay:EC2-4.5SNU,Relay_THT:Relay_DPDT_Kemet_EC2_NU,Relay*Kemet*EC2*,4.5V DC,145,0.14W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,6ms,100000000,200000,Electromechanical Latching,Through Hole,DIP,20.0 x 10.0 x 11.0mm,11.0mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EC2-4.5SNU,EC2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil single coil latching,,2024-01-15,,2024-01-15,1,,
32,EL-REL-000032,SignalRelay_DPDT_4.5V_DualLatching_Kemet_EC2,"Kemet EC2 Series - General purpose signal relay, DPDT (2 Form C), double coil latching, through hole, 4.5V DC coil",EC2-4.5TNU,4.5V DPDT Dual Latch,Relay:EC2-4.5TNU,Relay_THT:Relay_DPDT_Kemet_EC2_NU_DoubleCoil,Relay*Kemet*EC2*DoubleCoil*,4.5V DC,72.5,0.28W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,6ms,100000000,200000,Electromechanical Latching,Through Hole,DIP,20.0 x 10.0 x 11.0mm,11.0mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EC2-4.5TNU,EC2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil double dual coil latching,,2024-01-15,,2024-01-15,1,,
33,EL-REL-000033,SignalRelay_DPDT_5V_NonLatching_Kemet_EC2,"Kemet EC2 Series - General purpose signal relay, DPDT (2 Form C), non-latching, through hole, 5V DC coil",EC2-5NU,5V DPDT Non-Latching,Relay:EC2-5NU,Relay_THT:Relay_DPDT_Kemet_EC2_NU,Relay*Kemet*EC2*,5V DC,178,0.14W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,4ms,100000000,200000,Electromechanical Monostable,Through Hole,DIP,20.0 x 10.0 x 11.0mm,11.0mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EC2-5NU,EC2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil non latching,,2024-01-15,,2024-01-15,1,,
34,EL-REL-000034,SignalRelay_DPDT_5V_SingleLatching_Kemet_EC2,"Kemet EC2 Series - General purpose signal relay, DPDT (2 Form C), single coil latching, through hole, 5V DC coil",EC2-5SNU,5V DPDT Single Latch,Relay:EC2-5SNU,Relay_THT:Relay_DPDT_Kemet_EC2_NU,Relay*Kemet*EC2*,5V DC,178,0.14W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,6ms,100000000,200000,Electromechanical Latching,Through Hole,DIP,20.0 x 10.0 x 11.0mm,11.0mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EC2-5SNU,EC2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil single coil latching,,2024-01-15,,2024-01-15,1,,
35,EL-REL-000035,SignalRelay_DPDT_5V_DualLatching_Kemet_EC2,"Kemet EC2 Series - General purpose signal relay, DPDT (2 Form C), double coil latching, through hole, 5V DC coil",EC2-5TNU,5V DPDT Dual Latch,Relay:EC2-5TNU,Relay_THT:Relay_DPDT_Kemet_EC2_NU_DoubleCoil,Relay*Kemet*EC2*DoubleCoil*,5V DC,89,0.28W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,6ms,100000000,200000,Electromechanical Latching,Through Hole,DIP,20.0 x 10.0 x 11.0mm,11.0mm,PC Pin,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EC2-5TNU,EC2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil double dual coil latching,,2024-01-15,,2024-01-15,1,,
36,EL-REL-000036,SignalRelay_DPDT_12V_SMD_NonLatching_Kemet_EE2_NKX,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), non-latching, high breakdown voltage, SMD, 12V coil",EE2-12NKX,12V DPDT SMD NKX,Relay:EE2-12NKX,Relay_SMD:Relay_DPDT_Kemet_EE2_NUX_NKX,Relay*DPDT*Kemet*EE2*NKX*,12V DC,1028,0.14W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,4ms,100000000,200000,Electromechanical Monostable,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-12NKX,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil non latching,,2024-01-15,,2024-01-15,1,,
37,EL-REL-000037,SignalRelay_DPDT_12V_SMD_NonLatching_Kemet_EE2,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), non-latching, standard SMD, 12V coil",EE2-12NU,12V DPDT SMD,Relay:EE2-12NU,Relay_SMD:Relay_DPDT_Kemet_EE2_NU,Relay*DPDT*Kemet*EE2*NU*,12V DC,1028,0.14W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,4ms,100000000,200000,Electromechanical Monostable,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-12NU,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil non latching,,2024-01-15,,2024-01-15,1,,
38,EL-REL-000038,SignalRelay_DPDT_12V_SMD_SmallFootprint_Kemet_EE2_NUH,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), non-latching, small footprint SMD, 12V coil",EE2-12NUH,12V DPDT SMD NUH,Relay:EE2-12NUH,Relay_SMD:Relay_DPDT_Kemet_EE2_NUH,Relay*DPDT*Kemet*EE2*NUH*,12V DC,1028,0.14W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,4ms,100000000,200000,Electromechanical Monostable,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-12NUH,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil non latching,,2024-01-15,,2024-01-15,1,,
39,EL-REL-000039,SignalRelay_DPDT_12V_SMD_HighReliability_Kemet_EE2_NUX,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), non-latching, high solder joint reliability SMD, 12V coil",EE2-12NUX,12V DPDT SMD NUX,Relay:EE2-12NUX,Relay_SMD:Relay_DPDT_Kemet_EE2_NUX_NKX,Relay*DPDT*Kemet*EE2*NUX*,12V DC,1028,0.14W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,4ms,100000000,200000,Electromechanical Monostable,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-12NUX,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil non latching,,2024-01-15,,2024-01-15,1,,
40,EL-REL-000040,SignalRelay_DPDT_12V_SMD_SingleLatching_Kemet_EE2,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), single coil latching, SMD, 12V coil",EE2-12SNU,12V DPDT SMD Single Latch,Relay:EE2-12SNU,Relay_SMD:Relay_DPDT_Kemet_EE2_NU,Relay*DPDT*Kemet*EE2*NU*,12V DC,1028,0.14W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,6ms,100000000,200000,Electromechanical Latching,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-12SNU,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil single coil latching,,2024-01-15,,2024-01-15,1,,
41,EL-REL-000041,SignalRelay_DPDT_12V_SMD_SingleLatching_Small_Kemet_EE2_SNUH,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), single coil latching, small footprint SMD, 12V coil",EE2-12SNUH,12V DPDT SMD Single Latch SNUH,Relay:EE2-12SNUH,Relay_SMD:Relay_DPDT_Kemet_EE2_NUH,Relay*DPDT*Kemet*EE2*NUH*,12V DC,1028,0.14W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,6ms,100000000,200000,Electromechanical Latching,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-12SNUH,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil single coil latching,,2024-01-15,,2024-01-15,1,,
42,EL-REL-000042,SignalRelay_DPDT_12V_SMD_SingleLatching_HighReliability_Kemet_EE2_SNUX,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), single coil latching, high solder joint reliability SMD, 12V coil",EE2-12SNUX,12V DPDT SMD Single Latch SNUX,Relay:EE2-12SNUX,Relay_SMD:Relay_DPDT_Kemet_EE2_NUX_NKX,Relay*DPDT*Kemet*EE2*NUX*,12V DC,1028,0.14W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,6ms,100000000,200000,Electromechanical Latching,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-12SNUX,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil single coil latching,,2024-01-15,,2024-01-15,1,,
43,EL-REL-000043,SignalRelay_DPDT_12V_SMD_DualLatching_Kemet_EE2,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), double coil latching, SMD, 12V coil",EE2-12TNU,12V DPDT SMD Dual Latch,Relay:EE2-12TNU,Relay_SMD:Relay_DPDT_Kemet_EE2_NU_DoubleCoil,Relay*DPDT*Kemet*EE2*NU*DoubleCoil*,12V DC,514,0.28W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,6ms,100000000,200000,Electromechanical Latching,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-12TNU,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil double dual coil latching,,2024-01-15,,2024-01-15,1,,
44,EL-REL-000044,SignalRelay_DPDT_12V_SMD_DualLatching_Small_Kemet_EE2_TNUH,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), double coil latching, small footprint SMD, 12V coil",EE2-12TNUH,12V DPDT SMD Dual Latch TNUH,Relay:EE2-12TNUH,Relay_SMD:Relay_DPDT_Kemet_EE2_NUH_DoubleCoil,Relay*DPDT*Kemet*EE2*NUH*DoubleCoil*,12V DC,514,0.28W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,6ms,100000000,200000,Electromechanical Latching,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-12TNUH,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil double dual coil latching,,2024-01-15,,2024-01-15,1,,
45,EL-REL-000045,SignalRelay_DPDT_12V_SMD_DualLatching_HighReliability_Kemet_EE2_TNUX,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), double coil latching, high solder joint reliability SMD, 12V coil",EE2-12TNUX,12V DPDT SMD Dual Latch TNUX,Relay:EE2-12TNUX,Relay_SMD:Relay_DPDT_Kemet_EE2_NUX_DoubleCoil,Relay*DPDT*Kemet*EE2*NUX*DoubleCoil*,12V DC,514,0.28W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,6ms,100000000,200000,Electromechanical Latching,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-12TNUX,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil double dual coil latching,,2024-01-15,,2024-01-15,1,,
46,EL-REL-000046,SignalRelay_DPDT_24V_SMD_NonLatching_Kemet_EE2,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), non-latching, SMD, 24V coil",EE2-24NU,24V DPDT SMD,Relay:EE2-24NU,Relay_SMD:Relay_DPDT_Kemet_EE2_NU,Relay*DPDT*Kemet*EE2*NU*,24V DC,2880,0.2W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,4ms,100000000,200000,Electromechanical Monostable,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-24NU,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil non latching,,2024-01-15,,2024-01-15,1,,
47,EL-REL-000047,SignalRelay_DPDT_24V_SMD_SmallFootprint_Kemet_EE2_NUH,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), non-latching, small footprint SMD, 24V coil",EE2-24NUH,24V DPDT SMD NUH,Relay:EE2-24NUH,Relay_SMD:Relay_DPDT_Kemet_EE2_NUH,Relay*DPDT*Kemet*EE2*NUH*,24V DC,2880,0.2W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,4ms,100000000,200000,Electromechanical Monostable,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-24NUH,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil non latching,,2024-01-15,,2024-01-15,1,,
48,EL-REL-000048,SignalRelay_DPDT_24V_SMD_HighReliability_Kemet_EE2_NUX,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), non-latching, high solder joint reliability SMD, 24V coil",EE2-24NUX,24V DPDT SMD NUX,Relay:EE2-24NUX,Relay_SMD:Relay_DPDT_Kemet_EE2_NUX_NKX,Relay*DPDT*Kemet*EE2*NUX*,24V DC,2880,0.2W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,4ms,100000000,200000,Electromechanical Monostable,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-24NUX,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil non latching,,2024-01-15,,2024-01-15,1,,
49,EL-REL-000049,SignalRelay_DPDT_24V_SMD_SingleLatching_Kemet_EE2,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), single coil latching, SMD, 24V coil",EE2-24SNU,24V DPDT SMD Single Latch,Relay:EE2-24SNU,Relay_SMD:Relay_DPDT_Kemet_EE2_NU,Relay*DPDT*Kemet*EE2*NU*,24V DC,2880,0.2W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,6ms,100000000,200000,Electromechanical Latching,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-24SNU,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil single coil latching,,2024-01-15,,2024-01-15,1,,
50,EL-REL-000050,SignalRelay_DPDT_24V_SMD_SingleLatching_Small_Kemet_EE2_SNUH,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), single coil latching, small footprint SMD, 24V coil",EE2-24SNUH,24V DPDT SMD Single Latch SNUH,Relay:EE2-24SNUH,Relay_SMD:Relay_DPDT_Kemet_EE2_NUH,Relay*DPDT*Kemet*EE2*NUH*,24V DC,2880,0.2W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,6ms,100000000,200000,Electromechanical Latching,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-24SNUH,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil single coil latching,,2024-01-15,,2024-01-15,1,,
51,EL-REL-000051,SignalRelay_DPDT_24V_SMD_SingleLatching_HighReliability_Kemet_EE2_SNUX,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), single coil latching, high solder joint reliability SMD, 24V coil",EE2-24SNUX,24V DPDT SMD Single Latch SNUX,Relay:EE2-24SNUX,Relay_SMD:Relay_DPDT_Kemet_EE2_NUX_NKX,Relay*DPDT*Kemet*EE2*NUX*,24V DC,2880,0.2W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,6ms,100000000,200000,Electromechanical Latching,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-24SNUX,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil single coil latching,,2024-01-15,,2024-01-15,1,,
52,EL-REL-000052,SignalRelay_DPDT_24V_SMD_DualLatching_Kemet_EE2,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), double coil latching, SMD, 24V coil",EE2-24TNU,24V DPDT SMD Dual Latch,Relay:EE2-24TNU,Relay_SMD:Relay_DPDT_Kemet_EE2_NU_DoubleCoil,Relay*DPDT*Kemet*EE2*NU*DoubleCoil*,24V DC,1440,0.4W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,6ms,100000000,200000,Electromechanical Latching,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-24TNU,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil double dual coil latching,,2024-01-15,,2024-01-15,1,,
53,EL-REL-000053,SignalRelay_DPDT_24V_SMD_DualLatching_Small_Kemet_EE2_TNUH,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), double coil latching, small footprint SMD, 24V coil",EE2-24TNUH,24V DPDT SMD Dual Latch TNUH,Relay:EE2-24TNUH,Relay_SMD:Relay_DPDT_Kemet_EE2_NUH_DoubleCoil,Relay*DPDT*Kemet*EE2*NUH*DoubleCoil*,24V DC,1440,0.4W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,6ms,100000000,200000,Electromechanical Latching,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-24TNUH,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil double dual coil latching,,2024-01-15,,2024-01-15,1,,
54,EL-REL-000054,SignalRelay_DPDT_24V_SMD_DualLatching_HighReliability_Kemet_EE2_TNUX,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), double coil latching, high solder joint reliability SMD, 24V coil",EE2-24TNUX,24V DPDT SMD Dual Latch TNUX,Relay:EE2-24TNUX,Relay_SMD:Relay_DPDT_Kemet_EE2_NUX_DoubleCoil,Relay*DPDT*Kemet*EE2*NUX*DoubleCoil*,24V DC,1440,0.4W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,6ms,100000000,200000,Electromechanical Latching,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-24TNUX,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil double dual coil latching,,2024-01-15,,2024-01-15,1,,
55,EL-REL-000055,SignalRelay_DPDT_3V_SMD_NonLatching_HighBreakdown_Kemet_EE2_NKX,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), non-latching, high breakdown voltage, high solder joint reliability SMD, 3V coil",EE2-3NKX,3V DPDT SMD NKX,Relay:EE2-3NKX,Relay_SMD:Relay_DPDT_Kemet_EE2_NUX_NKX,Relay*DPDT*Kemet*EE2*NKX*,3V DC,64,0.14W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,4ms,100000000,200000,Electromechanical Monostable,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-3NKX,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil non latching,,2024-01-15,,2024-01-15,1,,
56,EL-REL-000056,SignalRelay_DPDT_3V_SMD_NonLatching_Kemet_EE2,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), non-latching, SMD, 3V coil",EE2-3NU,3V DPDT SMD,Relay:EE2-3NU,Relay_SMD:Relay_DPDT_Kemet_EE2_NU,Relay*DPDT*Kemet*EE2*NU*,3V DC,64,0.14W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,4ms,100000000,200000,Electromechanical Monostable,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-3NU,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil non latching,,2024-01-15,,2024-01-15,1,,
57,EL-REL-000057,SignalRelay_DPDT_3V_SMD_SmallFootprint_Kemet_EE2_NUH,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), non-latching, small footprint SMD, 3V coil",EE2-3NUH,3V DPDT SMD NUH,Relay:EE2-3NUH,Relay_SMD:Relay_DPDT_Kemet_EE2_NUH,Relay*DPDT*Kemet*EE2*NUH*,3V DC,64,0.14W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,4ms,100000000,200000,Electromechanical Monostable,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-3NUH,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil non latching,,2024-01-15,,2024-01-15,1,,
58,EL-REL-000058,SignalRelay_DPDT_3V_SMD_HighReliability_Kemet_EE2_NUX,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), non-latching, high solder joint reliability SMD, 3V coil",EE2-3NUX,3V DPDT SMD NUX,Relay:EE2-3NUX,Relay_SMD:Relay_DPDT_Kemet_EE2_NUX_NKX,Relay*DPDT*Kemet*EE2*NUX*,3V DC,64,0.14W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,4ms,100000000,200000,Electromechanical Monostable,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-3NUX,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil non latching,,2024-01-15,,2024-01-15,1,,
59,EL-REL-000059,SignalRelay_DPDT_3V_SMD_SingleLatching_Kemet_EE2,"Kemet EE2 Series - General purpose signal relay, DPDT (2 Form C), single coil latching, SMD, 3V coil",EE2-3SNU,3V DPDT SMD Single Latch,Relay:EE2-3SNU,Relay_SMD:Relay_DPDT_Kemet_EE2_NU,Relay*DPDT*Kemet*EE2*NU*,3V DC,64,0.14W,DPDT (2 Form C),2A,220VDC/250VAC,50mΩ,,,6ms,6ms,100000000,200000,Electromechanical Latching,Surface Mount,SMD,15.0 x 7.5 x 9.5mm,9.5mm,Gull Wing,-40°C,85°C,-40°C to 85°C,,,https://content.kemet.com/datasheets/KEM_R7002_EC2_EE2.pdf,1,1,Kemet,EE2-3SNU,EE2,,,,,,,,,,,Relays,Signal Relays,,,,,,,,,,,,1,,signal relay double pole double throw DPDT DC coil single coil latching,,2024-01-15,,2024-01-15,1,,
